president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,2/26/2021,1/19/2021,1/21/2021,Morning Consult,B/C,15000,a,.14773435,0,50,28,49.807534,30.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.21221619,0,48,45,50.593363,38.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/22/2021,Morning Consult,B/C,15000,a,.13271076,0,51,28,50.807534,30.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.0166161,0,55,32,53.877411,32.907959,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/21/2021,YouGov,B,1516,a,.8626765,0,45,28,46.600765,28.489397,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/21/2021,Morning Consult,B/C,1993,rv,.05289851,0,56,31,55.807534,33.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,1/22/2021,HarrisX,C,941,rv,.61842756,0,63,37,59.913106,35.45981,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,1/23/2021,Morning Consult,B/C,15000,a,.1220072,0,52,29,51.807534,31.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,1/23/2021,RMG Research,B/C,1200,rv,.59901046,0,58,32,56.165768,32.997386,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1087317,0,48,47,50.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,1/24/2021,Monmouth University,A+,809,a,1.8108364,0,54,30,53.797438,30.900531,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/22/2021,1/24/2021,Morning Consult,B/C,15000,a,.11355202,0,53,29,52.807534,31.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/20/2021,1/26/2021,Echelon Insights,"",1006,rv,.80103326,0,55,33,55.333417,32.258031,"","",https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.30404001,0,48,47,50.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/22/2021,1/25/2021,Morning Consult,B/C,1990,rv,.04251445,0,59,32,58.807534,34.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/23/2021,1/25/2021,Morning Consult,B/C,15000,a,.10682023,0,53,30,52.807534,32.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/22/2021,1/25/2021,Data for Progress,B-,1164,lv,1.2245486,0,57,36,55.865819,35.237672,"","",https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/22/2021,1/25/2021,Morning Consult,B/C,2200,a,.0470009,0,56,32,55.807534,34.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/24/2021,1/26/2021,YouGov,B,1500,a,.73027685,0,51,33,52.600765,33.489397,"","",https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf,74262,139434,1/27/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/24/2021,1/26/2021,Morning Consult,B/C,15000,a,.10215417,0,53,30,52.807534,32.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74276,139496,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1531474,0,48,48,50.593363,41.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/25/2021,1/27/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1474185,.00112128,49,48,51.593363,41.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74268,139483,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/25/2021,1/27/2021,Morning Consult,B/C,15000,a,.09834623,.00072048,54,31,53.807534,33.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74277,139497,1/28/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/25/2021,1/26/2021,Morning Consult,B/C,2200,a,.04327234,.00031701,58,32,57.807534,34.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/04174538/210179_crosstabs_MC_SPORTS_PRESUPER_BOWL_Adults_v3.pdf,74346,139653,2/5/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/24/2021,1/27/2021,Marist College,A+,1313,a,2.4548313,.02639604,49,35,50.475215,34.844742,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/02/Marist-Poll_USA-NOS-and-Tables_202101281213-1.pdf#page=3,74320,139558,2/1/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/26/2021,1/28/2021,Morning Consult,B/C,9211.5,a,.05866933,.00085882,55,31.5,54.807534,34.306812,*,T,https://int.nyt.com/data/documenttools/ben-smith-poll/967c3e3a09403867/full.pdf,74292,139518,2/1/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/26/2021,1/28/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.14248689,.00216827,50,45,52.593363,38.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74290,139515,1/29/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/21/2021,2/2/2021,Gallup,B,906,a,1.151954,.02243323,57,37,56.166725,36.194619,"","",https://news.gallup.com/poll/329348/biden-begins-term-job-approval.aspx,74344,139651,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/27/2021,1/28/2021,Morning Consult,B/C,2200,a,.04092577,.00089799,56,33,55.807534,35.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185159/210193_crosstabs_MC_ENERGY_Adults_v2.pdf,74378,139765,2/15/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/27/2021,1/29/2021,IBD/TIPP,A/B,1261,a,2.1061854,.06794146,53,29,53.214634,31.02814,"","",https://www.investors.com/politics/joe-biden-job-approval-enjoys-honeymoon-vs-donald-trump-ibd-tipp-poll/,74321,139560,2/1/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/27/2021,1/29/2021,Morning Consult,B/C,15000,a,.09301312,.00204088,54,32,53.807534,34.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74339,139644,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,1/29/2021,HarrisX,C,945,rv,.52581625,.01481696,61,39,57.913106,37.45981,"","",https://thehill.com/hilltv/what-americas-thinking/536809-poll-biden-approval-dips-to-61-percent,74322,139562,2/1/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/27/2021,1/31/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.08141041,.00245615,49,46,51.593363,39.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74293,139520,2/1/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,1/30/2021,RMG Research,B/C,1200,rv,.49189831,.01593072,58,35,56.165768,35.997386,"","",https://scottrasmussen.com/biden-job-approval-60/,74355,139680,2/9/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/29/2021,1/29/2021,John Zogby Strategies/EMI Research Solutions,"",841,lv,.7843669,.03373621,56.1,36.4,55.403099,36.196393,"","",https://johnzogbystrategies.com/wp-content/uploads/2021/02/Crosstabs-Voters-012921.pdf,74326,139569,2/2/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,1/30/2021,Morning Consult,B/C,6466.67,a,.03941323,.00114622,55.333333,33,55.140867,35.806812,*,T,https://assets.morningconsult.com/wp-uploads/2021/02/01222231/2101102_crosstabs_MC_TECH_QANON_Adults_v1.pdf,74323,139563,2/2/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,2/1/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.23850182,.00897663,51,45,53.593363,38.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74325,139568,2/2/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/29/2021,1/31/2021,Morning Consult,B/C,15000,a,.08987102,.00325232,54,33,53.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74340,139646,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/27/2021,2/1/2021,Global Strategy Group/GBAO (Navigator Research),"",1005,rv,.71315277,.03297495,53,39,52.887838,38.442533,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Topline-02.02.21.pdf,74324,139564,2/2/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,2/1/2021,AP-NORC,"",1055,a,1.4512304,.07802314,61,38,58.75363,37.406469,"","",https://apnorc.org/wp-content/uploads/2021/02/Biden-topline.pdf,74336,139629,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/28/2021,2/1/2021,Quinnipiac University,B+,1075,a,1.4663746,.07269201,49,36,50.838542,36.013518,"","",https://poll.qu.edu/national/release-detail?ReleaseID=3688,74334,139617,2/3/2021,09:55:05 26 Feb 2021
